id;semester;kode_mk;mata_kuliah;sks;praktek;teori;kategori_mk;rps;;;;;;;;;created_at;update_at
41;5;MSN303;Manajemen Industri;2;2;0;Wajib;Link;;;;;;;;;28/03/2025 20:01;28/03/2025 20:01
42;5;MSN305;Perpindahan Kalor dan Massa II;2;2;0;Wajib;Link;;;;;;;;;29/03/2025 20:01;29/03/2025 20:01
43;5;MSN307;Mesin-Mesin Fluida;2;2;0;Wajib;Link;;;;;;;;;30/03/2025 20:01;30/03/2025 20:01
44;5;MSN309;Sistem Kendali;2;2;0;Wajib;Link;;;;;;;;;31/03/2025 20:01;31/03/2025 20:01
45;5;MSN311;Energi Bio Massa;2;2;0;Wajib;Link;;;;;;;;;01/04/2025 20:01;01/04/2025 20:01
46;5;MSN313;Technopreneurship  ;2;2;0;Wajib;Link;;;;;;;;;02/04/2025 20:01;02/04/2025 20:01
47;5;MSN315;Teknologi Pembakaran;2;2;0;Wajib;Link;;;;;;;;;03/04/2025 20:01;03/04/2025 20:01
48;5;MSN317;Rancang Inovasi Produk;2;2;2;Wajib;https://drive.google.com/file/d/1FUaXIFn5S6eZR2ZFAq1KE6mO65OsIOWx/view?usp=drive_link;;;;;;;;;04/04/2025 20:01;04/04/2025 20:01
49;5;MSN319;Material Komposit;2;2;2;Wajib;https://drive.google.com/file/d/1lsXNfGX4TQALHPfc1DUDYfN0wo2H0CQy/view?usp=drive_link;;;;;;;;;05/04/2025 20:01;05/04/2025 20:01
50;6;MSN302;Alat Pengangkat & Pengangkut bahan;2;2;0;Wajib;Link;;;;;;;;;06/04/2025 20:01;06/04/2025 20:01
51;6;MSN304;Pendidikan Anti Korupsi;2;2;0;Wajib;Link;;;;;;;;;07/04/2025 20:01;07/04/2025 20:01
52;6;MSN306;Teknik Tenaga Listrik;2;2;0;Wajib;Link;;;;;;;;;08/04/2025 20:01;08/04/2025 20:01
53;6;MSN308;Etika Profesi;2;2;0;Wajib;Link;;;;;;;;;09/04/2025 20:01;09/04/2025 20:01
54;6;MSN310;Konsep Teknologi dan Desain;2;2;0;Wajib;Link;;;;;;;;;10/04/2025 20:01;10/04/2025 20:01
55;6;MSN312;Mekatronika;2;2;0;Wajib;Link;;;;;;;;;11/04/2025 20:01;11/04/2025 20:01
56;6;MSN314;Tugas Purnarupa Inovasi Produk;2;0;2;Wajib;Link;;;;;;;;;12/04/2025 20:01;12/04/2025 20:01
57;6;MSNXXX;MK Pilihan Keahlian  ;3;3;0;Pilihan;Link;;;;;;;;;13/04/2025 20:01;13/04/2025 20:01
58;6;MSNXXX;MK Pilihan Keahlian;3;3;0;Pilihan;Link;;;;;;;;;14/04/2025 20:01;14/04/2025 20:01
59;6;MSN502;Motor Bakar;3;0;0;Pilihan;Link;;;;;;;;;15/04/2025 20:01;15/04/2025 20:01
60;6;MSN504;Teknik Penukar Kalor;3;0;0;Pilihan;Link;;;;;;;;;16/04/2025 20:01;16/04/2025 20:01
61;6;MSN506;Turbin Uap;3;0;0;Pilihan;Link;;;;;;;;;17/04/2025 20:01;17/04/2025 20:01
62;6;MSN508;Energi Terbarukan;3;0;0;Pilihan;Link;;;;;;;;;18/04/2025 20:01;18/04/2025 20:01
63;6;MSN510;Mesin Pengkondisin Udara;3;0;0;Pilihan;Link;;;;;;;;;19/04/2025 20:01;19/04/2025 20:01
64;6;MSN512;Teknik Pembentukan Material;3;0;0;Pilihan;Link;;;;;;;;;20/04/2025 20:01;20/04/2025 20:01
65;6;MSN514;Nano Material;3;0;0;Pilihan;Link;;;;;;;;;21/04/2025 20:01;21/04/2025 20:01
66;6;MSN516;Material Polimer dan Proses;3;0;0;Pilihan;Link;;;;;;;;;22/04/2025 20:01;22/04/2025 20:01
67;6;MSN518;Sistem perpipaan;3;0;0;Pilihan;Link;;;;;;;;;23/04/2025 20:01;23/04/2025 20:01
68;6;MSN520;Bio Material;3;0;0;Pilihan;Link;;;;;;;;;24/04/2025 20:01;24/04/2025 20:01
69;7;MKU111;Metode Penelitin;2;2;0;Wajib;Link;;;;;;;;;25/04/2025 20:01;25/04/2025 20:01
70;7;MSN401;Pratikum Fenomena Dasar dan Uji Prestasi Mesin;2;0;0;Wajib;https://drive.google.com/file/d/1JNHI4w1XY-r2XFsf4E8b4aPDj3tw40Rp/view?usp=drive_link;;;;;;;;;26/04/2025 20:01;26/04/2025 20:01
71;7;MSN403;Pemilihan Bahan dan Proses;2;2;0;Wajib;Link;;;;;;;;;27/04/2025 20:01;27/04/2025 20:01
